Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category
O=C(N3CCC2(CCN(C1=CC=NC=C1)CC2)CC3)C	0,01327	0E0	12.0	2.0	0.0	0.0	5
OC(=C)C(=CC)CCN(C)C	0,00057	0E0	12.0	0.0	0.0	0.0	2
[O-]C.[Sb+].[H].[H]	0,00198	0E0	10.0	0.0	0.0	0.0	5
O=C(O)C(CC)CC	0,02151	0E0	11.0	2.0	0.0	0.0	5
C=CC(=CC)NC(=CC)C(=C)C	0,02386	0E0	6.0	0.0	0.0	0.0	2
O=C(C1=CC=C(OC)C=C1)N3CCC2(CN(CC)CCC2)(CC3)	0,0128	0E0	7.0	0.0	0.0	0.0	5
NCCN(C)C	0,00007	0E0	22.0	2.0	0.0	0.0	5
N=C(O)C(N=C(O)C(N)C)CC	0,00007	0E0	22.0	2.0	0.0	0.0	5
O=C(OC(C=C)=CC)N2CCC1(CN(C(=N)O)CCC1)(CC2)	0,00198	0E0	10.0	0.0	0.0	0.0	2
OCOC(=C)C	5,4E-25	0E0	202.0	35.0	0.0	0.0	2
O=C(N(C(=N)C)CCOC)C	9,3E-31	0E0	123.0	2.0	0.0	0.0	2
OC(C)C(O)(C)CC	0,0128	0E0	7.0	0.0	0.0	0.0	5
N1(C)CCN(CC1)C(C)C	0,00592	0E0	18.0	4.0	0.0	0.0	5
OC(=C)C(=CC)C(=C)N	0,00009	0E0	15.0	0.0	0.0	0.0	2
NC=CSC	2,08E-6	0E0	49.0	10.0	0.0	0.0	5
CCC1CCC(C)CC1(C)(C)	0,0003	0E0	29.0	6.0	0.0	0.0	5
FC(F)(F)C1=CC=CC=C1(C(N=C)=CC)	0,00031	0E0	13.0	0.0	0.0	0.0	2
O=C(N3CCCC2(CN(C(O)=NC1=CC=CC(=C1)C)CC2)(C3))C	0,01114	0E0	10.0	1.0	0.0	0.0	5
C=C(C)C(NC)C1CC1(CCCC)	0,00037	0E0	19.0	2.0	0.0	0.0	2
OC(=C)C(C=C)=CC	1,60E-6	0E0	54.0	12.0	0.0	0.0	2
OC1CCCC(C)C1(C(N)C)C(C)C	0,02386	0E0	6.0	0.0	0.0	0.0	5
O=C(C=1N=NSC=1)N2CCC3(CC2)(CCN(CC)CC3)	0,02386	0E0	6.0	0.0	0.0	0.0	5
O=C1N(C)C(CC)C2(O)(OC(N=C(O)C(CN)CC)(C(=O)N2(C1CC))C(C)C)	0,02386	0E0	6.0	0.0	0.0	0.0	5
C=CC(NC)C1=CC=CC=C1	0,00106	0E0	11.0	0.0	0.0	0.0	2
N#CC=1C=CC=C(C=1)C(=C)C	1,73E-7	0E0	25.0	0.0	0.0	0.0	2
CCC(CC)C(C)C	0,00008	0E0	32.0	6.0	0.0	0.0	5
NC(C)SC(C)(C)C	0,00001	0E0	22.0	1.0	0.0	0.0	5
O=C(OCC(=C)C)C(O)(C)C	0,0128	0E0	7.0	0.0	0.0	0.0	5
O=P(C1=CC=CC=C1)(C(=C)C)N(C)C	0,00687	0E0	8.0	0.0	0.0	0.0	5
O(C)CCOCC	3,92E-6	0E0	24.0	1.0	0.0	0.0	5
O=C(OC)N2CC5=C3C(CCC4C(OCC=1C=CC(F)=CC=1C(F)(F)F)OCC2(C)C34)C(CO)C(C)C5C	0,00368	0E0	9.0	0.0	0.0	0.0	2
OC(C)C(OC)CN	0,00031	0E0	13.0	0.0	0.0	0.0	5
N=C(O)CC	0,0035	0E0	17.0	3.0	0.0	0.0	5
